,2024-S2,2025-S1
:be: Belgium,2070.0,2070.0
:bg: Bulgaria,477.0,551.0
:hr: Croatia,840.0,970.0
:cy: Cyprus,1000.0,1000.0
:cz: Czechia,755.0,826.0
:ee: Estonia,820.0,886.0
:fr: France,1767.0,1802.0
:de: Germany,2054.0,2161.0
:gr: Greece,968.0,968.0
:hu: Hungary,675.0,707.0
:ie: Ireland,2146.0,2282.0
:lv: Latvia,700.0,740.0
:lt: Lithuania,924.0,1038.0
:lu: Luxembourg,2571.0,2638.0
:mt: Malta,925.0,961.0
:nl: Netherlands,2134.0,2193.0
:pl: Poland,998.0,1091.0
:pt: Portugal,957.0,1015.0
:ro: Romania,743.0,814.0
:sk: Slovakia,750.0,816.0
:si: Slovenia,1254.0,1278.0
:es: Spain,1323.0,1381.0
:us: United States,1174.0,1210.0
